yaw_delta,pitch_delta,target_yaw,target_pitch,since_attack,distance,on_ground,delta_x,delta_y,delta_z,target_velocity_x,target_velocity_y,target_velocity_z,player_velocity_x,player_velocity_y,player_velocity_z,yaw,pitch
-4.341293,-32.160568,-91.656265,-16.765724,1.000000,6.259910,0.000000,5.991312,1.805721,-0.173251,-0.205250,0.419875,-0.116125,-0.219059,-0.376630,-0.009757,-87.314972,15.394846
-3.925797,-34.922523,-91.240768,-19.527676,1.000000,6.233810,1.000000,5.873857,2.083749,-0.127213,-0.205250,0.419875,-0.116125,-0.217160,-0.078400,-0.009713,-87.314972,15.394846
-3.394371,-35.175087,-90.709343,-19.780243,1.000000,6.294747,1.000000,5.922878,2.130254,-0.073335,-0.205250,0.419875,-0.116125,-0.221192,-0.078400,-0.010108,-87.314972,15.394846
-0.840340,-34.056973,-89.918587,-18.569319,1.000000,6.340124,1.000000,6.010038,2.019046,0.008550,-0.205250,0.419875,-0.116125,-0.223393,-0.078400,-0.010324,-89.078247,15.487654
1.913292,-33.465401,-89.206642,-17.884939,1.000000,6.212225,1.000000,5.911446,1.907838,0.081850,-0.205250,0.419875,-0.116125,-0.121973,-0.078400,-0.005637,-91.119934,15.580462
2.959068,-31.602303,-88.346474,-16.021841,1.000000,5.962233,1.000000,5.728255,1.645590,0.165364,-0.205250,0.419875,-0.116125,-0.066597,-0.078400,-0.003078,-91.305542,15.580462
3.596146,-28.967781,-87.430984,-14.129783,1.000000,5.666656,1.000000,5.489688,1.383342,0.246318,-0.228000,0.419875,-0.089625,-0.036362,-0.078400,-0.001680,-91.027130,14.837999
3.892448,-29.442501,-85.928230,-15.996619,1.000000,5.063919,1.000000,4.855541,1.395535,0.345650,-0.228000,0.419875,-0.089625,0.113681,-0.078400,-0.002382,-89.820679,13.445883
4.901993,-26.557785,-83.526627,-14.225595,1.000000,4.019406,0.000000,3.871314,0.987729,0.439255,-0.228000,0.419875,-0.089625,0.304825,0.333200,0.000745,-88.428619,12.332190
7.622177,-27.146765,-80.620834,-15.000191,1.000000,3.293201,0.000000,3.138460,0.852359,0.518390,-0.228000,0.419875,-0.089625,0.300568,0.248136,0.000636,-88.243011,12.146574
9.104408,-29.492464,-76.076050,-17.902737,1.000000,2.609152,0.000000,2.409864,0.802054,0.597444,-0.228000,0.419875,-0.089625,0.296693,0.164773,0.000709,-85.180458,11.589727
5.281296,-34.433624,-68.576691,-23.215126,1.000000,1.993549,0.000000,1.705548,0.785825,0.669197,-0.228000,0.419875,-0.089625,0.293096,0.083078,0.001947,-73.857986,11.218496
0.286751,-43.233719,-53.803238,-34.335415,1.000000,1.509280,0.000000,1.005744,0.851292,0.736008,-0.228000,0.419875,-0.089625,0.288989,0.003016,0.006445,-54.089989,8.898302
22.043110,-50.208916,-23.786987,-45.115715,0.096000,1.233120,0.000000,0.350981,0.873702,0.796267,-0.228000,0.419875,-0.089625,0.262980,-0.075444,0.005865,-45.830097,5.093200
38.108154,-50.157345,17.150429,-45.713795,0.192000,1.278630,0.000000,-0.263271,0.915316,0.853101,-0.228000,0.419875,-0.089625,0.239312,-0.152335,0.005337,-20.957727,4.443549
13.050961,-42.984394,43.044464,-37.798386,0.288000,1.581326,0.000000,-0.852885,0.969169,0.913175,-0.228000,0.419875,-0.089625,0.234430,-0.227688,-0.001522,29.993504,5.186007
-21.900116,-46.285477,56.074799,-25.971876,0.384000,1.889422,1.000000,-1.409449,0.827435,0.948009,-0.088750,-0.373875,-0.034875,0.218044,-0.078400,0.017579,77.974915,20.313601
-28.333168,-43.862259,59.386505,-5.636830,0.480000,1.750993,0.000000,-1.499655,0.171988,0.887373,-0.088750,-0.373875,-0.034875,-0.118373,0.333200,0.060195,87.719673,38.225430
-9.983521,-36.000458,62.330200,14.011540,0.576000,1.926553,0.000000,-1.655464,-0.466452,0.868025,-0.088750,-0.373875,-0.034875,-0.130888,0.248136,0.055702,72.313721,50.011997
-2.411743,-28.478170,64.055191,27.566332,0.672000,2.253087,0.000000,-1.796009,-1.042674,0.873832,-0.088750,-0.373875,-0.034875,-0.141198,0.164773,0.057733,66.466934,56.044502
0.965134,-22.033401,65.575989,35.960064,0.768000,2.614906,0.000000,-1.927159,-1.535533,0.875172,0.107000,0.419875,-0.153500,-0.149748,0.083078,0.061797,64.610855,57.993465
3.329460,-20.653557,65.712952,39.381680,0.864000,2.661729,0.000000,-1.875260,-1.688829,0.846204,0.107000,0.419875,-0.153500,-0.157218,0.003016,0.066177,62.383492,60.035236
